Player Name,Format,Image,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2016,18,"1,215","2,011",16,75.9,60.4,235,2,4,134,2,65.1
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2017,16,"1,059","1,389",14,75.6,76.2,243,1,5,98,6,54.2
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2018,24,"1,307","2,414",24,54.5,54.1,153,5,5,142,2,70.5
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2019,11,608,967,9,67.6,62.9,254,2,2,78,3,68.4
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2020,6,116,283,6,19.3,41,74,1,0,15,0,79.9
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2021,19,536,"1,216",19,28.2,44.1,72,4,0,60,1,77.1
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2022,11,265,672,10,26.5,39.4,79,1,0,33,1,79.2
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2023,12,671,"1,226",12,55.9,54.7,186,2,2,70,1,68.6
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2024,2,58,70,2,29,82.9,46,0,0,8,1,64.3
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2008,5,159,239,5,31.8,66.5,54,1,0,21,1,71.5
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2009,8,325,385,6,54.2,84.4,107,2,1,36,3,51.7
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2010,23,995,"1,169",20,49.8,85.1,118,7,3,90,4,48.3
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2011,34,"1,381","1,614",29,47.6,85.6,117,8,4,127,7,46.8
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2012,17,"1,026","1,094",15,68.4,93.8,183,3,5,92,7,43.6
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2013,30,"1,268","1,300",24,52.8,97.5,115,7,4,138,20,48.1
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2014,20,"1,054","1,058",18,58.6,99.6,139,5,4,94,20,43.6
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2015,20,623,773,17,36.6,80.6,138,1,2,44,8,49
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2016,10,739,739,8,92.4,100,154,4,3,62,8,40.2
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2017,26,"1,460","1,473",19,76.8,99.1,131,7,6,136,22,42.8
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2018,14,"1,202","1,172",9,133.6,102.6,160,3,6,123,13,41.7
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2019,25,"1,377","1,429",23,59.9,96.4,123,7,5,133,8,41.8
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2020,9,431,467,9,47.9,92.3,89,5,0,35,5,41.1
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2021,3,129,149,3,43,86.6,66,2,0,10,1,41.6
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2022,11,302,347,11,27.5,87,113,2,1,32,2,48.1
Virat Kohli,ODI,https://static.toiimg.com/photo/99849830/99849830.jpg,2023,24,"1,377","1,389",19,72.5,99.1,166,8,6,122,24,42
Virat Kohli,T20,https://static.toiimg.com/photo/99849830/99849830.jpg,2010,1,26,21,0,-,123.8,26,0,0,3,1,42.9
Virat Kohli,T20,https://static.toiimg.com/photo/99849830/99849830.jpg,2011,4,61,52,4,15.2,117.3,28,0,0,10,0,42.3
